"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""46152664220""","=""hananabdul.khalek""","=""18200632435157982""","=""🤍""","=""https://www.instagram.com/hananabdul.khalek""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/277923683_157555186828721_5917398932653169788_n.jpg""","=""07/04/2022, 21:59:40"""
"=""9942524242""","=""lez.mahal""","=""17935179481955013""","=""❤️""","=""https://www.instagram.com/lez.mahal""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/209113469_321489509466304_1637366630495105464_n.jpg""","=""07/04/2022, 22:01:19"""
"=""249065095""","=""diaanlala""","=""17939267677983861""","=""❤️""","=""https://www.instagram.com/diaanlala""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/273443827_306501128179774_1334300196322471926_n.jpg""","=""07/04/2022, 22:03:21"""
"=""3080562356""","=""sally_._medina""","=""17943106465899836""","=""I used to doubt spell casting until I was really desperate to get back my lover, after my love left me. I had no choice than to seek for help, and behold I found @dr_asanu_spiritualhome and gave him a try. Being really skeptical I was surprised to see how spells really work and I am so glad that I meant @dr_asanu_spiritualhome and I highly recommend him. If you have a problem and you are looking for a real and genuine spell caster to solve the problem for you. Try the great @dr_asanu_spiritualhome today, he might be the answer to your problem.""","=""https://www.instagram.com/sally_._medina""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/121952073_650673138851929_543595546042426502_n.jpg""","=""07/04/2022, 22:03:52"""
"=""7498738591""","=""_kirstenhobbs_""","=""17973461137533378""","=""@keelan_xx just a reminder ❤️""","=""https://www.instagram.com/_kirstenhobbs_""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/71781053_729102227588091_98381238141714432_n.jpg""","=""07/04/2022, 22:04:04"""
"=""45907596238""","=""gabriell_sx_""","=""17949963874728921""","=""I was totally broken when the love of my life left me it was so hard for me,i almost gave up if not for a friend who directed me to a very good and powerful man Dr Adebola who helped me bring back the Ιove of my life and now she treat  me with so much Ιove and care, I dont know what problems you are passing through but with what he did for me I know he can help you, Do not hesitate to send a DMF at @Dr_adebola_spell_caster""","=""https://www.instagram.com/gabriell_sx_""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/273120203_270932195152026_3715030517714278595_n.jpg""","=""07/04/2022, 22:05:07"""
"=""44295820772""","=""james_michael__0""","=""17934714692100405""","=""$5000 for the first 10 people to DM “Struggling” 🇨🇦🇺🇸💰""","=""https://www.instagram.com/james_michael__0""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/259844112_855810371765951_5949943977301258605_n.jpg""","=""07/04/2022, 22:06:07"""
"=""4664724588""","=""cindywills1019""","=""17928917282291892""","=""❤️🔥""","=""https://www.instagram.com/cindywills1019""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/276003010_360153865986691_3092726991316887170_n.jpg""","=""07/04/2022, 22:08:51"""
"=""6210087536""","=""star_baby_xox""","=""17919737447488174""","=""❤️""","=""https://www.instagram.com/star_baby_xox""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/116209387_312715653431945_3727782470150185671_n.jpg""","=""07/04/2022, 22:08:59"""
"=""52202405282""","=""blueandgray_poetry""","=""17925492806272812""","=""❤️❤️❤️❤️❤️""","=""https://www.instagram.com/blueandgray_poetry""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275655650_132498859318292_4489944117984739669_n.jpg""","=""07/04/2022, 22:09:09"""
