"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""13949293083""","=""gio._titst""","=""17963492248609229""","=""I was so sad when my husband Left me for another girl and that Break my Heart. I cry everyday and find a Solution to it but northing Came up, so I wanted to give up and move on with my life then I saw a post of a Lady thanking @doctor__adilo for what he have done for his family and I contacted him to see if he can help. I message him and tell him my problem and he tell me what to do and I follow the Instruction and now I’m with my husband. thanks to @doctor__adilo for helping my family""","=""https://www.instagram.com/gio._titst""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/271798294_916503475643466_6038306323446586343_n.jpg""","=""07/04/2022, 06:50:20"""
"=""28853898543""","=""herllinnco1989""","=""18191217397165206""","=""I was totally broken when the love of my life left me, it was so hard for me I almost gave up, if not for a friend who directed me to a good and powerful man called @dr_okoh_oboh_solutions who helped me bring back the love of my life and now he treats me with so much love and care, I don’t know what your problems are or what you’re passing trough, but with what he did for me and most people whom I’ve referred him to, I know he can help you as well no matter what the problems are… His handle @dr_okoh_oboh_solutions""","=""https://www.instagram.com/herllinnco1989""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/226318390_194950242510922_3693792222410208670_n.jpg""","=""07/04/2022, 06:50:23"""
"=""6611880393""","=""rosestimz""","=""18202118047146919""","=""❤️""","=""https://www.instagram.com/rosestimz""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/277914393_1039688936944428_4682378533234016453_n.jpg""","=""07/04/2022, 06:50:48"""
"=""9003590449""","=""grey._sebastian009""","=""17905228982448601""","=""I’m paying off the debts of first 5 people to message me 🇺🇸🇨🇦""","=""https://www.instagram.com/grey._sebastian009""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/270256753_1625539577793110_6946782030730079062_n.jpg""","=""07/04/2022, 06:51:25"""
"=""310500622""","=""itsme_ron""","=""17882369942595374""","=""💯💯💯""","=""https://www.instagram.com/itsme_ron""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/272373211_282655167187916_7750488849141237745_n.jpg""","=""07/04/2022, 06:52:30"""
"=""488341028""","=""poetrymusings""","=""17924052899329339""","=""💚""","=""https://www.instagram.com/poetrymusings""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/159278851_888992125009196_7500655547946020353_n.jpg""","=""07/04/2022, 06:53:52"""
"=""12259639019""","=""jumah500000""","=""17956646401669930""","=""Stay at ur risk""","=""https://www.instagram.com/jumah500000""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/275064543_516195706560951_3292792926389272734_n.jpg""","=""07/04/2022, 06:55:41"""
"=""44219569405""","=""lildeadkittys""","=""17846821244745642""","=""@gaynconfused""","=""https://www.instagram.com/lildeadkittys""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/277945011_743155090036525_877261985565924902_n.jpg""","=""07/04/2022, 06:57:05"""
"=""41611896""","=""adriane_17""","=""17925881702201588""","=""Yesss 🙌🏼""","=""https://www.instagram.com/adriane_17""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275686954_694936695202115_629788762351785436_n.jpg""","=""07/04/2022, 06:58:06"""
"=""7120049311""","=""royman945bbs""","=""17972248654541263""","=""Believe it or not, @baba_pojo
has played a very important role in my life
when it comes to spiritual assistance and
healing. I was heartbroken when my partner
left and it was for no good reason.
But I'm happy today because so many days
gone bye and I'm a very happy person now.
@baba_pojo is one of the best out here,
don't slack on this one!😍😍❤️""","=""https://www.instagram.com/royman945bbs""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275684316_315901413940870_609793279408271849_n.jpg""","=""07/04/2022, 06:59:12"""
