"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""1725610330""","=""amelior86""","=""17900804789462989""","=""When ever I feel this way I remember the quote from Zen Shin ( I think) 'a flower does not think to compete with the flower next to it. It just blooms'.💐 It kind of applies.  For me it reminds me that one flower blooming in a garden encourages the others to bloom. We are all flowers. We should not seek to compete with each other but see inspiration just as Rupi said. More of us in an arena means more room to rise. ❤️""","=""https://www.instagram.com/amelior86""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/275249562_149823970784658_1574077211013728372_n.jpg""","=""07/03/2022, 06:21:52"""
"=""8142858988""","=""berartificielle""","=""17937326914854289""","=""Amen!! ❤️""","=""https://www.instagram.com/berartificielle""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/82154431_540902483170101_7987114603198808064_n.jpg""","=""07/03/2022, 06:31:09"""
"=""1354823276""","=""the.schizoid.man""","=""17842722377746908""","=""Sister bandh karo bakwas 😂""","=""https://www.instagram.com/the.schizoid.man""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/247834908_634172094241237_7373988593641369647_n.jpg""","=""07/03/2022, 07:24:17"""
"=""640871864""","=""malkaspar""","=""18135665506247066""","=""Im a man but I also feel this <3""","=""https://www.instagram.com/malkaspar""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275220627_1296244337542449_1808496059093142528_n.jpg""","=""07/03/2022, 09:00:37"""
"=""1574336823""","=""su_g_na""","=""17973092380514033""","=""🙌🙌""","=""https://www.instagram.com/su_g_na""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/241793536_1259364024542302_5727132387133129965_n.jpg""","=""07/03/2022, 09:13:40"""
"=""36191966870""","=""soma_pilates_method""","=""17918534324158990""","=""Yes! Love this. A rising tide lifts all boats""","=""https://www.instagram.com/soma_pilates_method""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/261707035_982170485710504_6933092957424659696_n.jpg""","=""07/03/2022, 09:20:17"""
"=""1544986883""","=""mishawxox""","=""18104421619303100""","=""YES! ❤️""","=""https://www.instagram.com/mishawxox""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/242610078_1372044363215890_1291576541846510141_n.jpg""","=""07/03/2022, 12:12:05"""
"=""1995719068""","=""helenpeekins""","=""18159774217214803""","=""🧡""","=""https://www.instagram.com/helenpeekins""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/12224300_141890069502356_2124258209_a.jpg""","=""07/03/2022, 12:12:14"""
"=""45549498""","=""belenpoetry""","=""18112011349302683""","=""YESSSSSS""","=""https://www.instagram.com/belenpoetry""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/101710122_533552354197284_2521680620669632512_n.jpg""","=""07/03/2022, 12:57:28"""
"=""48271118218""","=""theinkandsoul""","=""17933076226919577""","=""So true😍❤❤❤❤❤""","=""https://www.instagram.com/theinkandsoul""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/213670885_398523584917299_6072581251469297923_n.jpg""","=""07/03/2022, 13:01:41"""
"=""509506421""","=""thatch.jewelry""","=""17901077309462674""","=""yes yes yes ! ❣️❣️❣️""","=""https://www.instagram.com/thatch.jewelry""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/272915062_274388751504629_8974742219791483116_n.jpg""","=""07/03/2022, 13:02:49"""
"=""244454246""","=""krvillanueva""","=""17925930605150231""","=""❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️""","=""https://www.instagram.com/krvillanueva""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/275549916_510009087234687_5093286289618472289_n.jpg""","=""07/03/2022, 13:44:01"""
"=""31506217""","=""cju2007""","=""18010249534386730""","=""Wish all sisters would learn this""","=""https://www.instagram.com/cju2007""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/26071077_2096924927193176_959479463244988416_n.jpg""","=""07/03/2022, 14:25:15"""
"=""1557157057""","=""juicy_suzy""","=""17918706578171885""","=""@marlous_krul""","=""https://www.instagram.com/juicy_suzy""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/275539658_491619855987880_6207875409775140344_n.jpg""","=""07/03/2022, 14:55:44"""
